standard distance,real distance
0,16.0
0,37.0
0,51.0
0,50.0
0,37.0
0,26.0
0,24.0
0,26.0
0,23.0
0,25.0
0,23.0
0,23.0
0,22.0
0,22.0
0,21.0
0,23.0
0,24.0
0,51.0
0,51.0
0,24.0
0,42.0
0,43.0
0,25.0
0,26.0
0,23.0
0,18.0
0,23.0
0,22.0
0,22.0
0,21.0
0,16.0
0,17.0
0,18.0
0,16.0
0,17.0
0,19.0
0,32.0
0,34.0
0,17.0
0,36.0
0,34.0
0,33.0
33.0,33.0
33.0,40.0
33.0,34.0
33.0,37.0
33.0,36.0
33.0,34.0
33.0,34.0
33.0,35.0
33.0,35.0
33.0,35.0
33.0,35.0
33.0,37.0
33.0,34.0
33.0,35.0
33.0,34.0
33.0,34.0
33.0,34.0
33.0,35.0
33.0,33.0
33.0,33.0
33.0,34.0
33.0,34.0
33.0,34.0
33.0,34.0
33.0,47.0
33.0,50.0
33.0,50.0
33.0,50.0
33.0,59.0
33.0,44.0
33.0,49.0
33.0,44.0
33.0,44.0
33.0,44.0
33.0,42.0
33.0,30.0
33.0,36.0
33.0,37.0
33.0,45.0
33.0,30.0
33.0,21.0
